Note: Exchange rate fluctuations may impact converted values.
Country,Account type,Account name,Account ID,Company name,Account identifier,Invoice,Order,Order ID,Invoice issue Date,Due date,Currency (not converted),Currency (converted),Amount billed (not converted),Amount billed (converted),Tax amount billed (not converted),Tax amount billed (converted),Amount outstanding (not converted),Amount outstanding (converted),Status,PO number,Amount paid (not converted),Amount paid (converted),Currency service fee (not converted),Currency service fee (converted),Payment Method,Foreign Exchange Rate (on invoice date)
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5481,N/A,N/A,"12 March, 2026","12 March, 2026",INR,INR,"₹2,040.56","Rs.2,040.56",₹367.30,Rs.367.30,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,407.86","Rs.2,407.86",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5468,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,201.57","Rs.2,201.57",₹396.28,Rs.396.28,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,597.85","Rs.2,597.85",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5467,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,350.56","Rs.2,350.56",₹423.10,Rs.423.10,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,773.66","Rs.2,773.66",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5476,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,024.13","Rs.2,024.13",₹364.34,Rs.364.34,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,388.47","Rs.2,388.47",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5475,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,051.74","Rs.2,051.74",₹369.31,Rs.369.31,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,421.05","Rs.2,421.05",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5465,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,138.23","Rs.2,138.23",₹384.88,Rs.384.88,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,523.11","Rs.2,523.11",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5471,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,281.64","Rs.2,281.64",₹410.70,Rs.410.70,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,692.34","Rs.2,692.34",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5470,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,136.44","Rs.2,136.44",₹384.56,Rs.384.56,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,521.00","Rs.2,521.00",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5480,N/A,N/A,"11 March, 2026","12 March, 2026",INR,INR,"₹2,410.24","Rs.2,410.24",₹433.84,Rs.433.84,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,844.08","Rs.2,844.08",N/A,N/A,Seller Balance,1.0
India,Sponsored Ads,ClapThunder,A38125KZIUHUMS,N/A,N/A,HMRDK6DHS-5473,N/A,N/A,"11 March, 2026","11 March, 2026",INR,INR,"₹2,530.87","Rs.2,530.87",₹455.56,Rs.455.56,₹0.00,Rs.0.00,Paid In Full,N/A,"₹2,986.43","Rs.2,986.43",N/A,N/A,Seller Balance,1.0
